filename	original_sha256	public_sha256	redaction_types	redaction_count
brca1-balanced.bionj	5086c3865990d664cb93c970eb70cd7f7a501640e2cfc164a20804e4c55051a0	5086c3865990d664cb93c970eb70cd7f7a501640e2cfc164a20804e4c55051a0	none	0
brca1-balanced.contree	e763c49199bb04be95a19d3b0df1d07fff3c3aa8eba2babdef9c4a6919f17587	e763c49199bb04be95a19d3b0df1d07fff3c3aa8eba2babdef9c4a6919f17587	none	0
brca1-balanced.iqtree	14d09d5b32b60dbd4dff64655f47d892544f8f9debd4da2d23f54fb73103fdf6	5c70a3d9b4f9452fd13eeb5496b2b32fa5a30407fb7d1c78c6d78d5eb3c232a4	private_alignment_path:3	3
brca1-balanced.log	28a531a316bea257cf1a34f4c5f3052269c2a4d1ff3b7e66f29671e91e48968e	a149e9d5f7948422aa721723c815ca5d0a9f89cd8b4871745bd02bfc0a3efd23	host_line:1;private_alignment_path:2	3
brca1-balanced.mldist	32cebd3854703aa92d6c0cb5b65e447f0f23422aa2324bf9d5b6e5ebb23e6382	32cebd3854703aa92d6c0cb5b65e447f0f23422aa2324bf9d5b6e5ebb23e6382	none	0
brca1-balanced.splits.nex	603cc43e5adeee6c114b2b7fb45bebdfd0b43345f6fa0ebdc12e5728f84121e4	603cc43e5adeee6c114b2b7fb45bebdfd0b43345f6fa0ebdc12e5728f84121e4	none	0
brca1-balanced.treefile	148580bb39014f9f910c8ad8a1e12cf4b8e2688594d2b3325b6d32f14d8e40af	148580bb39014f9f910c8ad8a1e12cf4b8e2688594d2b3325b6d32f14d8e40af	none	0
brca1-balanced.ufboot	93e6b29217e31604b8cc0de3a76b46b3b3eb7bdbc1c7aead4f34084b3563833c	93e6b29217e31604b8cc0de3a76b46b3b3eb7bdbc1c7aead4f34084b3563833c	none	0
software_version.txt	4ec85e058a26f2eb7dc3c0c674e2be03d7dc0698812a87dadf2dfed115a969ed	4ec85e058a26f2eb7dc3c0c674e2be03d7dc0698812a87dadf2dfed115a969ed	none	0
