record_id	input_name	requested_taxon_id	matched_name	name_class	taxon_id	parent_taxon_id	rank	unique_name	status	snapshot	source_url	retrieved_at	names_sha256	nodes_sha256	resolver_version
XP_019673492.2	Felis catus	9685	Felis catus	scientific name	9685	9682	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_013845389.1	Sus scrofa	9823	Sus scrofa	scientific name	9823	9822	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_014314296.1	Myotis lucifugus	59463	Myotis lucifugus	scientific name	59463	9434	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_060059410.1	Erinaceus europaeus	9365	Erinaceus europaeus	scientific name	9365	9364	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_003414318.3	Loxodonta africana	9785	Loxodonta africana	scientific name	9785	9784	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_023581001.1	Trichechus manatus latirostris	127582	Trichechus manatus latirostris	scientific name	127582	9778	subspecies		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_075417988.1	Tenrec ecaudatus	94439	Tenrec ecaudatus	scientific name	94439	94438	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_058140293.1	Dasypus novemcinctus	9361	Dasypus novemcinctus	scientific name	9361	9360	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_037665688.1	Choloepus didactylus	27675	Choloepus didactylus	scientific name	27675	9357	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_001029141.1	Monodelphis domestica	13616	Monodelphis domestica	scientific name	13616	13615	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
